0,1,2,3
-168.705414444444,-178.74220493665499,8.061839400325129,19.87
-91.9189744444444,-101.9557649366554,7.1728199258024565,19.41
-69.9640911111111,-80.0008816033221,7.083030910806153,19.07
-9.16332444444447,-19.20011493665547,6.8,18.66
-120.718905555556,-130.755696047767,7.337906433503815,19.46
-54.9133644444444,-64.9501549366554,6.994993065319863,17.69
-50.5418911111111,-60.578681603322096,6.965766991593753,17.63
-5.1171488888889,-15.1539393810999,6.8,17.82
-106.574218888889,-116.6110093811,7.213938718874954,19.63
-64.7222744444445,-74.75906493665549,7.053794649985165,18.84
-45.7530266666666,-55.7898171588776,6.928493468924931,19.33
-15.5265922222223,-25.563382714433303,6.8,18.5
-73.6410388888889,-83.6778293810999,7.1013532499162,19.65
-44.7309366666667,-54.767727158877705,6.919694087695389,18.62
-43.6604333333333,-53.6972238255443,6.9101187494653855,18.09
-57.3099766666667,-67.3467671588777,7.0094057032338615,17.72
-50.7124588888889,-60.7492493810999,6.96698620269572,18.55
-85.8852544444444,-95.9220449366554,7.152239537231813,18.03
-111.839398888889,-121.87618938109999,7.243076572458877,19.16
-105.785027777778,-115.821818269989,7.211989543636049,18.45
-11.4206111111111,-21.4574016033221,6.8,19.17
-64.7846877777778,-74.8214782699888,7.0541668581249874,19.38
-125.166287777778,-135.203078269989,7.3892900798377354,19.87
-113.685323333333,-123.722113825544,7.2631725666414395,19.68
-49.4366411111111,-59.4734316033221,6.957697236417322,20.0
-70.1993577777778,-80.2361482699888,7.084253538385278,20.0
-113.870356666667,-123.907147158878,7.265153947928821,20.0
-176.398871111111,-186.435661603322,8.298236839072517,20.43
-193.282486666667,-203.319277158878,8.763406777525873,25.33
-201.889857777778,-211.926648269989,8.972028791196973,25.61
-269.016721111111,-279.053511603322,10.162505406086936,24.16
-278.793188888889,-288.82997938110003,10.291383468853196,19.98
-325.140693333333,-335.177483825544,10.80005336541305,19.88
-322.169258888889,-332.2060493811,10.771699611366097,19.73
-241.777153333333,-251.813943825544,9.752618781999749,19.61
-197.192727777778,-207.229518269989,8.860329832490484,19.59
-309.828024444444,-319.864814936655,10.64830068445472,19.27
-227.555365555556,-237.592156047767,9.504364898129612,19.56
-157.590688888889,-167.6274793811,7.802545866428454,19.55
-221.69488,-231.731670492211,9.393199445572826,19.74
-305.082073333333,-315.11886382554405,10.59827314130479,22.67
-256.81788,-266.854670492211,9.988451785451822,23.39
-343.107514444444,-353.14430493665503,11.057476910190482,23.71
-373.858032222222,-383.894822714433,11.586974371676694,22.98
-441.610247777778,-451.647038269989,12.231612903225807,27.96
-415.846475555555,-425.883266047766,12.231612903225807,24.68
-406.205016666667,-416.24180715887803,12.114096877662494,22.32
-387.918468888889,-397.9552593811,11.826630212395427,23.4
