0,1,2
-4.70513666666666,9.5,10.88
-1.94753222222222,9.5,12.7
19.7079033333334,9.68,1.72
75.8996788888889,9.727356934175411,-0.2
-51.4069255555556,12.127403427076183,11.5
21.2214822222222,9.68,2.75
55.088131111111,9.692357642099239,2.58
122.932868888889,9.762801473593496,1.81
24.5397388888889,9.68112620933605,2.17
48.4031022222222,9.69043123532433,2.63
26.4007177777778,9.682456617330052,2.44
54.4027088888889,9.691486492047982,0.86
27.4761722222222,9.683143288992698,0.6
4.81395555555554,9.68,0.41
29.1558955555556,9.684114434288107,0.08
41.5951277777778,9.688865092632692,0.32
27.9306755555556,9.68341759067676,0.61
35.7788555555556,9.687054982962836,2.56
-5.10996000000002,9.5,11.47
30.3999877777778,9.684764536810919,2.55
112.995194444445,9.757770991218342,0.89
119.93823,9.761373330693905,0.98
106.097634444444,9.753725393745226,1.06
114.008782222222,9.758324234236074,1.03
55.6090588888889,9.693553354653636,3.47
86.3946277777778,9.738610923754948,1.31
151.823343333333,9.773685785117177,-0.19
155.147987777778,9.77467824592453,-3.19
47.2399977777777,9.690195641055793,0.52
90.8607266666667,9.742611460359935,0.66
133.932982222222,9.767499272914707,0.23
179.085775555556,9.78073625096379,-0.14
72.1094177777779,9.722487370387071,-1.6
109.940013333333,9.75604167641813,-1.48
122.740773333333,9.762711954989298,-3.53
121.727338888889,9.762235006436914,-4.15
3.26754444444449,9.68,-3.78
65.9873822222221,9.71344055316987,-2.83
105.975954444444,9.753649298237228,-2.79
137.524817777778,9.768870472537323,-3.18
44.0541344444443,9.68948661912037,1.87
55.0135311111111,9.69218455522939,-2.16
68.1445166666667,9.716813723373168,-2.62
150.277883333333,9.773209489038573,-5.68
-61.2340644444445,12.221285811176488,10.91
-125.704833333334,12.53740472581586,10.29
-191.38351,12.701249446313597,10.11
-198.155202222222,12.718293587508736,10.16
-241.260622222222,12.814305015577244,10.43
-244.410347777778,12.821208537452485,10.08
-240.611536666667,12.812859898350576,10.17
-235.140993333333,12.800363361015721,10.13
-184.161653333333,12.685147078030864,10.04
-168.141901111111,12.645621885472117,10.15
-203.99245,12.732077625525125,10.09
-176.499435555555,12.667137425910054,11.68
-93.0544433333333,12.427723153946058,10.8
-79.0630466666665,12.35299490724442,12.55
-50.9744855555555,12.123394173039232,13.0
-87.9023644444443,12.402972925239796,14.41
54.2216422222222,9.691458062209945,2.14
56.4592755555554,9.695457506704113,1.33
-14.2834666666667,11.155062567738732,19.34
-117.295161111111,12.514992686229553,19.45
104.765581111111,9.752882738082548,2.86
0.936221111111092,9.68,4.49
-58.7177022222222,12.197770523566506,18.33
-105.596022222222,12.47787673233172,17.45
-55.0548555555556,12.15969960667512,15.36
-60.90311,12.218304035705238,16.01
-114.908784444444,12.5080353971014,14.79
-102.685511111111,12.467329295857656,14.41
-154.215845555556,12.604590467180774,12.7
-145.806146666667,12.580500135005016,14.73
-98.7208988888888,12.451961314327864,14.22
-104.951324444444,12.47559084365909,12.91
-164.592837777778,12.635824273817127,10.75
-82.9174144444445,12.376097899875626,10.16
-77.0517655555556,12.34002159056598,10.06
-90.1177877777778,12.413962478317794,10.42
-78.2731333333334,12.347979253305665,10.35
-50.6816788888888,12.120640646191546,10.32
14.4449111111115,9.68,2.66
73.1295744444445,9.723847670374314,0.36
-69.2723844444445,12.286694517273922,13.74
11.0428,9.68,2.21
70.7901355555553,9.720670073701863,2.75
122.987536666667,9.762826898253714,-3.84
11.0517111111111,9.68,0.62
-9.83605222222223,10.615787730484964,12.83
29.1655033333333,9.68411966735347,3.16
124.829485555556,9.76367052851276,1.55
-7.58686111111115,10.23507180869976,10.0
9.1368266666666,9.68,1.06
73.6546733333333,9.724533159551925,0.4
103.386982222222,9.751987772578035,-0.83
